Bubble Sort,Insert Sort,Selection Sort,Merge Sort,Heap Sort,Quick Sort,Radix Sort
869241,156437,175104,219542,24612,45932,90652
417906,86788,111170,90250,20643,25234,50255
369238,103742,149771,189611,418230,2300986,61427
546429,98844,171054,59088,26227,11844,68803
446448,138729,139967,33909,25347,10239,35868
277390,63260,106732,19717,19117,9192,23707
278900,84921,107294,14993,17547,8955,60859
1080399,180883,278989,60244,75898,13404,43641
69443,99499,159620,36117,30426,15509,62431
78133,98459,197785,23840,36141,14117,43193
