Bubble Sort,Insert Sort,Selection Sort,Merge Sort,Heap Sort,Quick Sort,Radix Sort
18213556368,1072873295,2905871570,16977830,15989892,5753856,5391284
17054661289,1058073119,2900257292,18358312,11133418,4329092,4301787
17015123830,1059761893,2901389530,13159801,11110538,4229218,4251078
17056416831,1058180366,2937052334,12247875,11038965,6408263,4883397
17008980872,1059013474,2895115877,13582536,11002775,4160035,4249798
17167389231,1062425176,2918980631,12248007,13358232,5288560,4421557
17076651010,1053829690,2910675308,13267744,11122885,6313247,4868598
16965920061,1061527663,2897645192,16147210,11224632,4176256,4253715
17016217702,1070216596,2914087756,14585869,12389100,4205837,4258632
17065100140,1064473291,2887404768,12497646,11055683,4194922,4321714
