Bubble Sort,Insert Sort,Selection Sort,Merge Sort,Heap Sort,Quick Sort,Radix Sort
1726774053116,115042403171,291416042924,152943664,134183132,46908900,56386973
1718994862239,115314113640,290554681129,145337166,124828335,44240982,43806945
1719404194415,114789859129,290893801162,162491536,124954786,47467322,43873808
1719734920478,115404607574,290709315187,137989205,125382801,44114101,43933249
1721323774869,115594593853,292004014839,139581916,128206817,43966134,47890006
1721986752379,114799833471,291651401918,161228977,125524347,44432205,44052210
1722132421594,115286663589,292143653143,132910074,127797382,44353797,43872668
1725327877735,115377725448,291806808261,135234500,125575496,45629723,44166071
1725404018902,115380565123,292665234504,136434235,129000593,44272600,47663602
1766405725555,133124070638,298595404491,195971569,125925794,43808259,47256139
