Bubble Sort,Insert Sort,Selection Sort,Merge Sort,Heap Sort,Quick Sort,Radix Sort
156151842,11032785,31108017,1702586,1533971,535329,1407851
153708070,11361561,30870315,1725124,1675999,483603,1092380
158625607,10878256,33956121,1849777,1599560,409598,1003177
155291682,10672487,30854099,1603665,1417733,419053,646772
152777560,11455911,29888644,1621393,1470951,481330,669499
154156984,10695772,34476888,2398381,1681757,441166,681255
153536129,11663836,32993846,1944003,1183790,418286,506987
152795200,11959842,30785314,1707887,1088634,416807,510705
153820321,11933215,32604572,1630550,1202586,445449,579561
154284862,10737099,31792641,2148114,1261408,472232,656349
